conv_id,turno,fecha,hora,canal,texto_entrada,texto_salida,intencion_detectada,confianza_watson,sentimiento,csat_estimado,transaccion_realizada,resolucion,duracion_min,num_turnos_conv
CONV-0006,4,2024-11-21,00:23:00,Web,¿Cuándo se ve reflejado?,El pago se refleja en un plazo de 24 a 48 horas hábiles. ¿Hay algo más en lo que pueda ayudarte?,Pago tarjeta de crédito,0.78,positivo,4.6,Pago tarjeta de crédito,Resuelta,14,4
CONV-0007,1,2024-10-09,03:53:00,Teléfono,Quiero mi estado de cuenta,Con gusto. ¿Deseas el estado de cuenta del mes actual o de un periodo anterior?,Consulta de estado de cuenta,0.83,neutro,3.3,Consulta de estado de cuenta,Resuelta,11,5
CONV-0007,2,2024-10-09,03:56:00,Teléfono,Del mes pasado,Entendido. ¿Prefieres recibirlo por correo electrónico o descargarlo desde la app?,Consulta de estado de cuenta,0.93,neutro,3.8,Consulta de estado de cuenta,Resuelta,11,5
CONV-0007,3,2024-10-09,03:57:00,Teléfono,Por correo por favor,Perfecto. ¿Confirmas que tu correo registrado es sofia13@hotmail.com?,Consulta de estado de cuenta,0.82,neutro,3.7,Consulta de estado de cuenta,Resuelta,11,5
CONV-0007,4,2024-10-09,04:02:00,Teléfono,"Sí, ese es mi correo",✅ Estado de cuenta enviado a carlos13@gmail.com. Llegará en los próximos minutos. ¿Algo más?,Consulta de estado de cuenta,0.89,neutro,3.4,Consulta de estado de cuenta,Resuelta,11,5
CONV-0007,5,2024-10-09,04:05:00,Teléfono,No gracias,¡Con mucho gusto! ¿Sabías que también puedes ver tu estado de cuenta en línea desde banorte.com? ¡Hasta luego!,Consulta de estado de cuenta,0.74,neutro,3.6,Consulta de estado de cuenta,Resuelta,11,5
CONV-0008,1,2024-10-31,06:37:00,WhatsApp,Necesito pagar mi tarjeta de crédito,"Con gusto te ayudo. ¿Deseas pagar el mínimo, el total o un monto específico?",Pago tarjeta de crédito,0.86,positivo,4.1,Pago tarjeta de crédito,Resuelta,2,5
CONV-0008,2,2024-10-31,06:39:00,WhatsApp,Quiero pagar el total,"El saldo total de tu tarjeta es $102,077.78 MXN. ¿Confirmas el pago completo desde tu cuenta de débito?",Pago tarjeta de crédito,0.8,positivo,4.5,Pago tarjeta de crédito,Resuelta,2,5
CONV-0008,3,2024-10-31,06:41:00,WhatsApp,"Sí, confirmo","Procesando pago... ✅ Pago realizado por $88,296.67 MXN. Folio: BNR406462391. Tu saldo quedará en $0. ¿Algo más?",Pago tarjeta de crédito,0.86,positivo,4.6,Pago tarjeta de crédito,Resuelta,2,5
CONV-0008,4,2024-10-31,06:46:00,WhatsApp,¿Cuándo se ve reflejado?,El pago se refleja en un plazo de 24 a 48 horas hábiles. ¿Hay algo más en lo que pueda ayudarte?,Pago tarjeta de crédito,0.88,positivo,4.7,Pago tarjeta de crédito,Resuelta,2,5
CONV-0008,5,2024-10-31,06:49:00,WhatsApp,"No, gracias",¡Con gusto! Que tengas excelente día. Recuerda que puedes pagar también desde Banorte Móvil. ¡Hasta luego!,Pago tarjeta de crédito,0.84,positivo,3.8,Pago tarjeta de crédito,Resuelta,2,5
CONV-0009,1,2024-12-26,09:46:00,App Móvil,"Hola, quiero saber mi saldo",¡Hola! Con gusto te ayudo. ¿Me puedes proporcionar tu número de cliente o los últimos 4 dígitos de tu tarjeta?,Consulta de saldo,0.9,positivo,4.5,Consulta de saldo,Resuelta,8,4
CONV-0009,2,2024-12-26,09:47:00,App Móvil,"Sí, mis últimos 4 dígitos son 1724","Gracias. Para confirmar tu identidad, ¿me puedes decir tu fecha de nacimiento?",Consulta de saldo,0.81,positivo,3.9,Consulta de saldo,Resuelta,8,4
CONV-0009,3,2024-12-26,09:48:00,App Móvil,Mi fecha de nacimiento es 03/09/1993,"Perfecto, verificando información... Tu saldo disponible es $85,529.45 MXN. ¿Hay algo más en lo que pueda ayudarte?",Consulta de saldo,0.78,positivo,4.6,Consulta de saldo,Resuelta,8,4
CONV-0009,4,2024-12-26,09:55:00,App Móvil,"No, muchas gracias",¡Con mucho gusto! Recuerda que puedes consultar tu saldo también desde la app Banorte Móvil. ¡Hasta luego!,Consulta de saldo,0.79,positivo,4.5,Consulta de saldo,Resuelta,8,4
CONV-0010,1,2024-10-11,11:25:00,Teléfono,Quiero hacer una transferencia,"Claro, puedo ayudarte con eso. ¿A qué banco deseas transferir y cuál es el monto?",Transferencia realizada,0.75,positivo,5.0,Transferencia realizada,Resuelta,11,5
CONV-0010,2,2024-10-11,11:26:00,Teléfono,"Quiero transferir $21,489 pesos a BBVA",Entendido. Para proceder necesito la CLABE interbancaria del destinatario de 18 dígitos.,Transferencia realizada,0.82,positivo,4.8,Transferencia realizada,Resuelta,11,5
CONV-0010,3,2024-10-11,11:27:00,Teléfono,La CLABE es 447212646471543799,"Gracias. Confirma: transferencia de $28,950 MXN a CLABE 924593752654793564. ¿Es correcto?",Transferencia realizada,0.88,positivo,4.7,Transferencia realizada,Resuelta,11,5
CONV-0010,4,2024-10-11,11:34:00,Teléfono,"Sí, es correcto",Procesando tu transferencia... ✅ Transferencia realizada exitosamente. Folio: BNR337331022. ¿Algo más?,Transferencia realizada,0.9,positivo,4.2,Transferencia realizada,Resuelta,11,5
CONV-0010,5,2024-10-11,11:37:00,Teléfono,"No, eso es todo",¡Perfecto! Tu operación fue completada. Recibirás una notificación de confirmación. ¡Hasta luego!,Transferencia realizada,0.86,positivo,4.5,Transferencia realizada,Resuelta,11,5
CONV-0011,1,2024-11-28,03:16:00,Teléfono,Quiero hacer una transferencia,"Claro, puedo ayudarte con eso. ¿A qué banco deseas transferir y cuál es el monto?",Transferencia realizada,0.73,positivo,4.3,Transferencia realizada,Resuelta,10,4
CONV-0011,2,2024-11-28,03:17:00,Teléfono,"Quiero transferir $30,071 pesos a BBVA",Entendido. Para proceder necesito la CLABE interbancaria del destinatario de 18 dígitos.,Transferencia realizada,0.95,positivo,4.3,Transferencia realizada,Resuelta,10,4
CONV-0011,3,2024-11-28,03:22:00,Teléfono,La CLABE es 232536729466711684,"Gracias. Confirma: transferencia de $41,704 MXN a CLABE 518636374545892975. ¿Es correcto?",Transferencia realizada,0.95,positivo,4.8,Transferencia realizada,Resuelta,10,4
CONV-0011,4,2024-11-28,03:19:00,Teléfono,"Sí, es correcto",Procesando tu transferencia... ✅ Transferencia realizada exitosamente. Folio: BNR755325292. ¿Algo más?,Transferencia realizada,0.89,positivo,4.1,Transferencia realizada,Resuelta,10,4
CONV-0012,1,2024-12-18,21:28:00,Web,"Hola, quiero saber mi saldo",¡Hola! Con gusto te ayudo. ¿Me puedes proporcionar tu número de cliente o los últimos 4 dígitos de tu tarjeta?,Consulta de saldo,0.83,positivo,3.8,Consulta de saldo,Resuelta,3,4
CONV-0012,2,2024-12-18,21:31:00,Web,"Sí, mis últimos 4 dígitos son 9791","Gracias. Para confirmar tu identidad, ¿me puedes decir tu fecha de nacimiento?",Consulta de saldo,0.95,positivo,4.1,Consulta de saldo,Resuelta,3,4
CONV-0012,3,2024-12-18,21:30:00,Web,Mi fecha de nacimiento es 25/02/1998,"Perfecto, verificando información... Tu saldo disponible es $7,403.22 MXN. ¿Hay algo más en lo que pueda ayudarte?",Consulta de saldo,0.77,positivo,4.1,Consulta de saldo,Resuelta,3,4
CONV-0012,4,2024-12-18,21:37:00,Web,"No, muchas gracias",¡Con mucho gusto! Recuerda que puedes consultar tu saldo también desde la app Banorte Móvil. ¡Hasta luego!,Consulta de saldo,0.83,positivo,4.5,Consulta de saldo,Resuelta,3,4
CONV-0013,1,2024-11-27,09:29:00,WhatsApp,Necesito pagar mi tarjeta de crédito,"Con gusto te ayudo. ¿Deseas pagar el mínimo, el total o un monto específico?",Pago tarjeta de crédito,0.84,positivo,3.9,Pago tarjeta de crédito,Resuelta,15,4
CONV-0013,2,2024-11-27,09:31:00,WhatsApp,Quiero pagar el total,"El saldo total de tu tarjeta es $3,916.40 MXN. ¿Confirmas el pago completo desde tu cuenta de débito?",Pago tarjeta de crédito,0.88,positivo,4.0,Pago tarjeta de crédito,Resuelta,15,4
CONV-0013,3,2024-11-27,09:35:00,WhatsApp,"Sí, confirmo","Procesando pago... ✅ Pago realizado por $101,997.14 MXN. Folio: BNR945026004. Tu saldo quedará en $0. ¿Algo más?",Pago tarjeta de crédito,0.77,positivo,4.5,Pago tarjeta de crédito,Resuelta,15,4
CONV-0013,4,2024-11-27,09:35:00,WhatsApp,¿Cuándo se ve reflejado?,El pago se refleja en un plazo de 24 a 48 horas hábiles. ¿Hay algo más en lo que pueda ayudarte?,Pago tarjeta de crédito,0.81,positivo,4.5,Pago tarjeta de crédito,Resuelta,15,4
CONV-0014,1,2024-10-10,17:57:00,App Móvil,Tengo un cargo que no reconozco,Lamento el inconveniente. ¿Me puedes decir el monto del cargo y la fecha aproximada?,Aclaración de cargo,0.79,negativo,3.3,Aclaración de cargo,Resuelta,7,4
CONV-0014,2,2024-10-10,17:59:00,App Móvil,"Es un cargo de $43,887 del 30/11/2024",Entiendo. Voy a revisar el detalle de ese movimiento. Un momento por favor...,Aclaración de cargo,0.87,negativo,2.9,Aclaración de cargo,Resuelta,7,4
CONV-0014,3,2024-10-10,18:03:00,App Móvil,Encontré el cargo en tu cuenta. Aparece como NETFLIX. ¿Recuerdas haber comprado ahí?,"No, definitivamente no reconozco ese cargo",Aclaración de cargo,0.83,negativo,3.1,Aclaración de cargo,Resuelta,7,4
CONV-0014,4,2024-10-10,18:06:00,App Móvil,Procederé a generar una aclaración formal. Folio: BNR730157871. El proceso tarda de 5 a 10 días hábiles.,¿Me harán un cargo temporal?,Aclaración de cargo,0.82,negativo,3.2,Aclaración de cargo,Resuelta,7,4
CONV-0015,1,2024-10-28,14:19:00,Teléfono,Quiero hacer una transferencia,"Claro, puedo ayudarte con eso. ¿A qué banco deseas transferir y cuál es el monto?",Transferencia realizada,0.83,positivo,4.0,Transferencia realizada,Resuelta,11,5
CONV-0015,2,2024-10-28,14:21:00,Teléfono,"Quiero transferir $38,345 pesos a BBVA",Entendido. Para proceder necesito la CLABE interbancaria del destinatario de 18 dígitos.,Transferencia realizada,0.72,positivo,4.4,Transferencia realizada,Resuelta,11,5
CONV-0015,3,2024-10-28,14:25:00,Teléfono,La CLABE es 104478985625753260,"Gracias. Confirma: transferencia de $2,548 MXN a CLABE 489090100167618472. ¿Es correcto?",Transferencia realizada,0.9,positivo,4.2,Transferencia realizada,Resuelta,11,5
CONV-0015,4,2024-10-28,14:25:00,Teléfono,"Sí, es correcto",Procesando tu transferencia... ✅ Transferencia realizada exitosamente. Folio: BNR914115345. ¿Algo más?,Transferencia realizada,0.77,positivo,4.6,Transferencia realizada,Resuelta,11,5
CONV-0015,5,2024-10-28,14:27:00,Teléfono,"No, eso es todo",¡Perfecto! Tu operación fue completada. Recibirás una notificación de confirmación. ¡Hasta luego!,Transferencia realizada,0.95,positivo,4.9,Transferencia realizada,Resuelta,11,5
CONV-0016,1,2024-10-10,15:20:00,Web,Tengo un cargo que no reconozco,Lamento el inconveniente. ¿Me puedes decir el monto del cargo y la fecha aproximada?,Aclaración de cargo,0.77,negativo,2.4,Aclaración de cargo,Resuelta,7,4
CONV-0016,2,2024-10-10,15:21:00,Web,"Es un cargo de $47,075 del 16/11/2024",Entiendo. Voy a revisar el detalle de ese movimiento. Un momento por favor...,Aclaración de cargo,0.81,negativo,3.2,Aclaración de cargo,Resuelta,7,4
CONV-0016,3,2024-10-10,15:26:00,Web,Encontré el cargo en tu cuenta. Aparece como AMAZON MX. ¿Recuerdas haber comprado ahí?,"No, definitivamente no reconozco ese cargo",Aclaración de cargo,0.89,negativo,2.4,Aclaración de cargo,Resuelta,7,4
CONV-0016,4,2024-10-10,15:29:00,Web,Procederé a generar una aclaración formal. Folio: BNR862023079. El proceso tarda de 5 a 10 días hábiles.,¿Me harán un cargo temporal?,Aclaración de cargo,0.98,negativo,2.8,Aclaración de cargo,Resuelta,7,4
CONV-0017,1,2024-12-11,20:00:00,App Móvil,Quiero mi estado de cuenta,Con gusto. ¿Deseas el estado de cuenta del mes actual o de un periodo anterior?,Consulta de estado de cuenta,0.72,neutro,3.7,Consulta de estado de cuenta,Resuelta,12,5
CONV-0017,2,2024-12-11,20:03:00,App Móvil,Del mes pasado,Entendido. ¿Prefieres recibirlo por correo electrónico o descargarlo desde la app?,Consulta de estado de cuenta,0.77,neutro,3.4,Consulta de estado de cuenta,Resuelta,12,5
CONV-0017,3,2024-12-11,20:06:00,App Móvil,Por correo por favor,Perfecto. ¿Confirmas que tu correo registrado es jose78@gmail.com?,Consulta de estado de cuenta,0.96,neutro,4.2,Consulta de estado de cuenta,Resuelta,12,5
CONV-0017,4,2024-12-11,20:03:00,App Móvil,"Sí, ese es mi correo",✅ Estado de cuenta enviado a lucia59@hotmail.com. Llegará en los próximos minutos. ¿Algo más?,Consulta de estado de cuenta,0.73,neutro,4.0,Consulta de estado de cuenta,Resuelta,12,5
CONV-0017,5,2024-12-11,20:12:00,App Móvil,No gracias,¡Con mucho gusto! ¿Sabías que también puedes ver tu estado de cuenta en línea desde banorte.com? ¡Hasta luego!,Consulta de estado de cuenta,0.87,neutro,3.6,Consulta de estado de cuenta,Resuelta,12,5
CONV-0018,1,2024-10-24,16:25:00,App Móvil,"Hola, quiero saber mi saldo",¡Hola! Con gusto te ayudo. ¿Me puedes proporcionar tu número de cliente o los últimos 4 dígitos de tu tarjeta?,Consulta de saldo,0.94,positivo,4.4,Consulta de saldo,Resuelta,13,4
CONV-0018,2,2024-10-24,16:28:00,App Móvil,"Sí, mis últimos 4 dígitos son 7971","Gracias. Para confirmar tu identidad, ¿me puedes decir tu fecha de nacimiento?",Consulta de saldo,0.9,positivo,4.3,Consulta de saldo,Resuelta,13,4
CONV-0018,3,2024-10-24,16:27:00,App Móvil,Mi fecha de nacimiento es 26/02/1996,"Perfecto, verificando información... Tu saldo disponible es $81,134.21 MXN. ¿Hay algo más en lo que pueda ayudarte?",Consulta de saldo,0.98,positivo,3.9,Consulta de saldo,Resuelta,13,4
CONV-0018,4,2024-10-24,16:31:00,App Móvil,"No, muchas gracias",¡Con mucho gusto! Recuerda que puedes consultar tu saldo también desde la app Banorte Móvil. ¡Hasta luego!,Consulta de saldo,0.92,positivo,4.6,Consulta de saldo,Resuelta,13,4
CONV-0019,1,2024-10-30,06:53:00,Web,Tengo un cargo que no reconozco,Lamento el inconveniente. ¿Me puedes decir el monto del cargo y la fecha aproximada?,Aclaración de cargo,0.78,negativo,2.7,Aclaración de cargo,Resuelta,15,4
CONV-0019,2,2024-10-30,06:56:00,Web,"Es un cargo de $37,547 del 05/11/2024",Entiendo. Voy a revisar el detalle de ese movimiento. Un momento por favor...,Aclaración de cargo,0.86,negativo,3.1,Aclaración de cargo,Resuelta,15,4
CONV-0019,3,2024-10-30,06:59:00,Web,Encontré el cargo en tu cuenta. Aparece como NETFLIX. ¿Recuerdas haber comprado ahí?,"No, definitivamente no reconozco ese cargo",Aclaración de cargo,0.8,negativo,2.7,Aclaración de cargo,Resuelta,15,4
CONV-0019,4,2024-10-30,07:02:00,Web,Procederé a generar una aclaración formal. Folio: BNR617169553. El proceso tarda de 5 a 10 días hábiles.,¿Me harán un cargo temporal?,Aclaración de cargo,0.92,negativo,2.4,Aclaración de cargo,Resuelta,15,4
CONV-0020,1,2024-10-29,08:05:00,Teléfono,Necesito pagar mi tarjeta de crédito,"Con gusto te ayudo. ¿Deseas pagar el mínimo, el total o un monto específico?",Pago tarjeta de crédito,0.93,positivo,4.3,Pago tarjeta de crédito,Resuelta,12,5
CONV-0020,2,2024-10-29,08:07:00,Teléfono,Quiero pagar el total,"El saldo total de tu tarjeta es $6,004.74 MXN. ¿Confirmas el pago completo desde tu cuenta de débito?",Pago tarjeta de crédito,0.92,positivo,4.0,Pago tarjeta de crédito,Resuelta,12,5
CONV-0020,3,2024-10-29,08:09:00,Teléfono,"Sí, confirmo","Procesando pago... ✅ Pago realizado por $50,181.93 MXN. Folio: BNR540024260. Tu saldo quedará en $0. ¿Algo más?",Pago tarjeta de crédito,0.74,positivo,4.5,Pago tarjeta de crédito,Resuelta,12,5
CONV-0020,4,2024-10-29,08:08:00,Teléfono,¿Cuándo se ve reflejado?,El pago se refleja en un plazo de 24 a 48 horas hábiles. ¿Hay algo más en lo que pueda ayudarte?,Pago tarjeta de crédito,0.87,positivo,4.0,Pago tarjeta de crédito,Resuelta,12,5
CONV-0020,5,2024-10-29,08:17:00,Teléfono,"No, gracias",¡Con gusto! Que tengas excelente día. Recuerda que puedes pagar también desde Banorte Móvil. ¡Hasta luego!,Pago tarjeta de crédito,0.97,positivo,4.1,Pago tarjeta de crédito,Resuelta,12,5
CONV-0021,1,2024-12-01,05:31:00,App Móvil,Qué promociones tienen para el Buen Fin,"¡Hola! 🎉 Tenemos excelentes promociones para el Buen Fin. ¿Te interesa conocer meses sin intereses, cashback o descuentos en tiendas específicas?",Información de promociones Buen Fin,0.79,positivo,4.5,Información de promociones Buen Fin,Resuelta,11,5
CONV-0021,2,2024-12-01,05:32:00,App Móvil,Meses sin intereses,"¡Perfecto! Con tu tarjeta Banorte tienes hasta 18 MSI en tiendas participantes como Liverpool, Palacio de Hierro, Coppel y más de 500 establecimientos.",Información de promociones Buen Fin,0.77,positivo,4.5,Información de promociones Buen Fin,Resuelta,11,5
CONV-0021,3,2024-12-01,05:37:00,App Móvil,¿Aplica en Amazon?,"Sí, Amazon participa con hasta 12 MSI en compras mayores a $500 MXN. ¿Te gustaría ver el catálogo completo de participantes?",Información de promociones Buen Fin,0.84,positivo,4.8,Información de promociones Buen Fin,Resuelta,11,5
CONV-0021,4,2024-12-01,05:37:00,App Móvil,Sí por favor,Aquí tienes el enlace: banorte.com/buenfin2024 📱 También puedes activar notificaciones en la app para no perderte ninguna oferta. ¿Algo más?,Información de promociones Buen Fin,0.77,positivo,5.0,Información de promociones Buen Fin,Resuelta,11,5
CONV-0021,5,2024-12-01,05:35:00,App Móvil,"No eso es todo, gracias",¡Con mucho gusto! Aprovecha las promociones. ¡Hasta luego y buen Buen Fin! 🛍️,Información de promociones Buen Fin,0.76,positivo,4.6,Información de promociones Buen Fin,Resuelta,11,5
CONV-0022,1,2024-10-04,05:29:00,Web,Necesito pagar mi tarjeta de crédito,"Con gusto te ayudo. ¿Deseas pagar el mínimo, el total o un monto específico?",Pago tarjeta de crédito,0.89,positivo,4.1,Pago tarjeta de crédito,Resuelta,9,5
CONV-0022,2,2024-10-04,05:30:00,Web,Quiero pagar el total,"El saldo total de tu tarjeta es $38,882.60 MXN. ¿Confirmas el pago completo desde tu cuenta de débito?",Pago tarjeta de crédito,0.82,positivo,3.8,Pago tarjeta de crédito,Resuelta,9,5
CONV-0022,3,2024-10-04,05:31:00,Web,"Sí, confirmo","Procesando pago... ✅ Pago realizado por $15,420.87 MXN. Folio: BNR459821251. Tu saldo quedará en $0. ¿Algo más?",Pago tarjeta de crédito,0.86,positivo,4.4,Pago tarjeta de crédito,Resuelta,9,5
CONV-0022,4,2024-10-04,05:38:00,Web,¿Cuándo se ve reflejado?,El pago se refleja en un plazo de 24 a 48 horas hábiles. ¿Hay algo más en lo que pueda ayudarte?,Pago tarjeta de crédito,0.86,positivo,4.5,Pago tarjeta de crédito,Resuelta,9,5
CONV-0022,5,2024-10-04,05:33:00,Web,"No, gracias",¡Con gusto! Que tengas excelente día. Recuerda que puedes pagar también desde Banorte Móvil. ¡Hasta luego!,Pago tarjeta de crédito,0.96,positivo,4.1,Pago tarjeta de crédito,Resuelta,9,5
CONV-0023,1,2024-12-18,11:19:00,WhatsApp,Quiero mi estado de cuenta,Con gusto. ¿Deseas el estado de cuenta del mes actual o de un periodo anterior?,Consulta de estado de cuenta,0.98,neutro,4.0,Consulta de estado de cuenta,Resuelta,15,5
CONV-0023,2,2024-12-18,11:22:00,WhatsApp,Del mes pasado,Entendido. ¿Prefieres recibirlo por correo electrónico o descargarlo desde la app?,Consulta de estado de cuenta,0.75,neutro,4.1,Consulta de estado de cuenta,Resuelta,15,5
CONV-0023,3,2024-12-18,11:23:00,WhatsApp,Por correo por favor,Perfecto. ¿Confirmas que tu correo registrado es miguel87@gmail.com?,Consulta de estado de cuenta,0.95,neutro,3.4,Consulta de estado de cuenta,Resuelta,15,5
CONV-0023,4,2024-12-18,11:22:00,WhatsApp,"Sí, ese es mi correo",✅ Estado de cuenta enviado a pedro72@gmail.com. Llegará en los próximos minutos. ¿Algo más?,Consulta de estado de cuenta,0.74,neutro,4.0,Consulta de estado de cuenta,Resuelta,15,5
CONV-0023,5,2024-12-18,11:27:00,WhatsApp,No gracias,¡Con mucho gusto! ¿Sabías que también puedes ver tu estado de cuenta en línea desde banorte.com? ¡Hasta luego!,Consulta de estado de cuenta,0.98,neutro,3.6,Consulta de estado de cuenta,Resuelta,15,5
